all,kall,k,kcr,kli,kpr,knpr,ksd,kst,kap,kfo,knf,kres,kfeed,cereals20,cereals,oilcrops,sugarcrops,bioenergycrops,other_crops,crops_excluding_bioenergy_and_forage,kforest,k_trade,k_notrade,time,t_all,processing20,past,past_all,past_soc,awms,awms_prp,awms_conf,pollutants_all,pollutants,n_pollutants_direct,land,kall_agg1,kall_agg2,npk,attributes,dm_ge_nr,report_it,default_sep18,biogas_dec18,biochar_jan19
y2060,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2065,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2070,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2075,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2080,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2085,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2090,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2095,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2100,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2105,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2110,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2115,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2120,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2125,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2130,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2135,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2140,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2145,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2150,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
